s.no.,Division/ Seat No.,Name of Member,Session,From Date,To Date,State,Total Sittings,No of days member signed the register
154,175,Shri Salim Ansari,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
155,176,Shri Rajpal Singh Saini,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
156,177,Shri Anand Sharma,239,25/04/2016,13/05/2016,Himanchal Pradesh,15,15
157,178,Shri A.K. Antony,239,25/04/2016,13/05/2016,Karnataka,15,6
158,179,Dr. Karan Singh,239,25/04/2016,13/05/2016,Delhi,15,13
159,180,Dr. Manmohan Singh,239,25/04/2016,13/05/2016,Assam,15,15
160,181,Shri Ahmed Patel,239,25/04/2016,13/05/2016,Gujrat,15,14
161,182,Shri Digvijaya Singh,239,25/04/2016,13/05/2016,Madhya Pradesh,15,11
162,183,Shri K. Rahman Khan,239,25/04/2016,13/05/2016,Karnataka,15,11
163,184,Shri Janardan Dwivedi,239,25/04/2016,13/05/2016,Delhi,15,15
164,185,Shri Motilal Vora,239,25/04/2016,13/05/2016,Chhatisgarh,15,15
165,186,Dr. T. Subbarami Reddy,239,25/04/2016,13/05/2016,Andhra Pradesh,15,12
166,187,Shri Oscar Fernandes,239,25/04/2016,13/05/2016,Karnataka,15,9
167,188,Shri Raj Babbar,239,25/04/2016,13/05/2016,Uttara Khand,15,14
168,189,Shri Jairam Ramesh,239,25/04/2016,13/05/2016,Karnataka,15,15
169,190,Kumari Selja,239,25/04/2016,13/05/2016,Haryana,15,15
170,191,Shri Rajeev Shukla,239,25/04/2016,13/05/2016,Maharashtra,15,12
171,192,Shri Bhubaneswar Kalita,239,25/04/2016,13/05/2016,Assam,15,15
172,193,Shri Narendra Budania,239,25/04/2016,13/05/2016,Rajasthan,15,14
173,194,Shri P.L. Punia,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
174,195,Dr. K. Chiranjeevi,239,25/04/2016,13/05/2016,Andhra Pradesh,15,1
175,196,Shri Madhusudan Mistry,239,25/04/2016,13/05/2016,Gujrat,15,12
176,197,Shri Shamsher Singh Dullo,239,25/04/2016,13/05/2016,Punjab,15,14
177,198,Smt. Ranee Narah,239,25/04/2016,13/05/2016,Assam,15,15
178,199,Dr. K. Keshava Rao,239,25/04/2016,13/05/2016,Andhra Pradesh,15,12
179,200,Shri Biswajit Daimary,239,25/04/2016,13/05/2016,Assam,15,5
180,200,Shri V. Hanumantha Rao,239,25/04/2016,13/05/2016,Telangana,15,15
181,201,Shri Jesudasu Seelam,239,25/04/2016,13/05/2016,Andhra Pradesh,15,11
182,202,Shri Shadi Lal Batra,239,25/04/2016,13/05/2016,Haryana,15,13
183,203,Shri Parvez Hashmi,239,25/04/2016,13/05/2016,Delhi,15,15
